"","Coef","naiveSE","naiveZ","robustSE","robustZ","vars","response","robustPr","data"
"smallest_motif_abundance_dropped_more.scale(X42)1",-0.593363407788497,0.146928918891205,-4.03843853385907,0.195025669544138,-3.04248876148177,"X42","DPP",0.00234630578584231,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X43)1",0.101587349124143,0.0837717949767089,1.21266769026959,0.050031034996873,2.03048665954027,"X43","DPP",0.0423070958413028,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X44)1",0.137743098859225,0.132773184420074,1.03743161287318,0.0826262436312938,1.66706233765003,"X44","DPP",0.0955020100634811,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X45)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X45","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X46)1",0.137743098859225,0.132773184420074,1.03743161287318,0.0826262436312938,1.66706233765003,"X46","DPP",0.0955020100634811,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X47)1",0.0559472454422147,0.112375434121191,0.497860105099825,0.0509511516665229,1.09805654263502,"X47","DPP",0.272179799956854,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X48)1",0.0559472454422147,0.112375434121191,0.497860105099825,0.0509511516665229,1.09805654263502,"X48","DPP",0.272179799956854,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X49)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X49","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X50)1",0.137743098859225,0.132773184420074,1.03743161287318,0.0826262436312938,1.66706233765003,"X50","DPP",0.0955020100634811,"smallest_motif_abundance_dropped_more"
"smallest_motif_abundance_dropped_more.scale(X51)1",0.20827762851419,0.129251836591385,1.61140943143916,0.0572883303385588,3.6356030501033,"X51","DPP",0.000277331101298751,"smallest_motif_abundance_dropped_more"
